CodiceStazione;NomeStazione;NomeComune;Provincia;QuotaStazione;EPSG3003_X;EPSG3003_Y;EPSG4258_LON;EPSG4258_LAT;Bacino;SottoBacino;ZeroIdrometrico
0382;Monti Alti di Ornella;LIVINALLONGO DEL COL DI LANA;BL;2227;1721593;5150975;11.88627778;46.47569444;PIAVE: VENETO;PIAVE - Cordevole;>>
0298;Monticano a Fontanelle;FONTANELLE;TV;18;1767169;5081710;12.43991791;45.83694613;LIVENZA: VENETO;LIVENZA - Monticano;16.66
0299;Monticano a Gorgo al Monticano;GORGO AL MONTICANO;TV;5;1775115;5076356;12.53899329;45.78572084;LIVENZA: VENETO;LIVENZA - Monticano;4.67
0310;Monticano a Oderzo;ODERZO;TV;12;1771627;5075950;12.49397408;45.7834602;LIVENZA: VENETO;LIVENZA - Monticano;8.65
0331;Monticano a Vazzola;VAZZOLA;TV;25;1763427;5083067;12.39256244;45.85057427;LIVENZA: VENETO;LIVENZA - Monticano;25.81
0292;Muson dei Sassi a Castelfranco Veneto;CASTELFRANCO VENETO;TV;42;1727493;5061536;11.92027581;45.66983651;BRENTA: VENETO;BRENTA - Muson dei Sassi;38.28
0554;Muson dei Sassi ad Asolo;ASOLO;TV;94;1725032;5074343;11.89466078;45.78576616;BRENTA: VENETO;BRENTA;>>
0464;Nogarolo di Tarzo;TARZO;TV;329;1751439;5097704;12.24608334;45.98658333;;;>>
0163;Noventa di Piave - Grassaga;NOVENTA DI PIAVE;VE;1;1779549;5063494;12.58851069;45.66841156;PIANURA TRA LIVENZA E PIAVE;PIAVE;>>
0196;Oderzo;ODERZO;TV;7;1774069;5074080;12.52427035;45.76569434;PIANURA TRA LIVENZA E PIAVE;PIAVE;>>
0572;Ospedaletto Euganeo;OSPEDALETTO EUGANEO;PD;9;1704622;5012334;11.60648596;45.2345589;BRENTA: VENETO;BRENTA - Fratta - Gorzone;>>
0062;Padola  a Santo Stefano;SANTO STEFANO DI CADORE;BL;905;1771945;5162330;12.54767828;46.55926927;PIAVE: VENETO;PIAVE;>>
0234;Padova - Orto Botanico;PADOVA;PD;12;1725443;5031324;11.88007657;45.39892324;BRENTA: VENETO;BRENTA - Bacchiglione;>>
0393;Passo Campogrosso;RECOARO TERME;VI;1462;1668751;5066191;11.16838889;45.7285;BRENTA: VENETO;BRENTA - Bacchiglione - Agno;>>
0037;Passo Falzarego;CORTINA D'AMPEZZO;BL;2090;1730665;5156102;12.00683651;46.51873107;PIAVE: VENETO;PIAVE - Cordevole;>>
0091;Passo Monte Croce Comelico;COMELICO SUPERIORE;BL;1621;1762015;5172231;12.42397152;46.65215334;PIAVE: VENETO;PIAVE;>>
0080;Passo Pordoi;LIVINALLONGO DEL COL DI LANA;BL;2154;1716666;5151658;11.82249512;46.48343791;PIAVE: VENETO;PIAVE - Cordevole;>>
0140;Passo Santa Caterina (Valdagno);VALDAGNO;VI;807;1676150;5054313;11.25910319;45.6198264;BRENTA: VENETO;BRENTA - Bacchiglione - Agno;>>
0203;Passo Valles;FALCADE;BL;2042;1715631;5135568;11.80160227;46.33914263;PIAVE: VENETO;PIAVE - Cordevole;>>
0192;Passo Xomo (Posina);POSINA;VI;1051;1673988;5071814;11.2376662;45.77777304;BRENTA: VENETO;BRENTA - Posina;>>
0017;Perarolo;PERAROLO DI CADORE;BL;525;1758079;5143342;12.35657766;46.39415044;PIAVE: VENETO;PIAVE;>>
0132;Pescul;SELVA DI CADORE;BL;1402;1735786;5147226;12.06900907;46.4371972;PIAVE: VENETO;PIAVE - Cordevole;>>
0055;Pian del Crep (Val di Zoldo);VAL DI ZOLDO;BL;1741;1737890;5140871;12.09312208;46.37934829;PIAVE: VENETO;PIAVE - Maé;>>
0248;Piana di Marcesina - Rendole;ENEGO;VI;1310;1702486;5091759;11.61226574;45.94933182;BRENTA: VENETO;BRENTA: VALSUGANA;>>
0271;Piave a Belluno Ponte Vittoria;BELLUNO;BL;333;1748645;5114021;12.21858643;46.13422168;PIAVE: VENETO;PIAVE;330.33
0297;Piave a Eraclea;ERACLEA;VE;0;1786681;5053265;12.67386876;45.57361976;PIAVE: VENETO;PIAVE: PEDEROBBA;-0.52
0309;Piave a Nervesa della Battaglia;NERVESA DELLA BATTAGLIA;TV;78;1749046;5080290;12.20619641;45.83096877;PIAVE: VENETO;PIAVE: PEDEROBBA;78.30
0406;Piave a Ponte della Lasta;SANTO STEFANO DI CADORE;BL;844;1770056;5159828;12.52162114;46.53755783;PIAVE: VENETO;PIAVE;841.93
0316;Piave a Ponte di Piave;PONTE DI PIAVE;TV;3;1768917;5067797;12.45465245;45.71127406;PIAVE: VENETO;PIAVE;2.13
0323;Piave a S.Dona' di Piave;SAN DONA' DI PIAVE;VE;4;1777782;5058629;12.56308668;45.62541034;PIAVE: VENETO;PIAVE;-1.20
0327;Piave a Segusino;SEGUSINO;TV;179;1728681;5089687;11.94883728;45.92249042;PIAVE: VENETO;PIAVE;177.35
0552;Po a Porto Barricata;PORTO TOLLE;RO;0;1773846;4971996;12.465;44.84861111;;;>>
0319;Po a Porto Levante;ROSOLINA;RO;1;1764784;4993814;12.3619587;45.04809594;FISS.TAR.C.BIANCO;PO;-0.26
0048;Podestagno (Cortina d'Ampezzo);CORTINA D'AMPEZZO;BL;1316;1738424;5164737;12.11232905;46.59362172;PIAVE: VENETO;PIAVE - Boite;>>
0204;Ponte di Piave;PONTE DI PIAVE;TV;3;1774281;5068682;12.5239352;45.71711766;PIAVE: VENETO;PIAVE;>>
0505;Ponte Rio Cordon (Selva di Cadore);SELVA DI CADORE;BL;1764;1737794;5148836;12.09595652;46.45098415;PIAVE: VENETO;PIAVE - Cordevole;>>
0101;Porto Tolle - Pradon;PORTO TOLLE;RO;-3;1765951;4979312;12.36910037;44.9173386;PO: VENETO;PO - Delta;>>
0159;Portogruaro - Lison;PORTOGRUARO;VE;2;1792602;5072675;12.76128681;45.74548888;LEMENE: VENETO;LEMENE;>>
